Name,Lastname,Sex,Date_Loan
Gonzalo,Molina,M,2018-03-05
Gonzalo,Ruiz,M,2017-11-21
Francisco,Navarro,F,2016-05-02
Carlos,Moreno,F,2020-09-20
Carlos,Jiménez,M,2019-03-17
Andrea,Herrera,M,2016-06-07
Gabriel,Molina,F,2015-11-10
Antonia,Chávez,F,2020-10-21
Ricardo,Vázquez,M,2020-12-26
Victoria,Blanco,M,2020-10-19
Andrea,Núñez,F,2017-10-11
Luis,Romero,F,2019-10-11
Manuel,Castillo,F,2018-11-04
Gonzalo,Rojas,M,2018-11-21
Lorena,López,M,2020-10-09
Sergio,Miranda,M,2020-01-29
Andrea,Cruz,F,2016-05-09
Daniela,Reyes,F,2019-09-18
Ricardo,González,F,2020-08-01
Juan,Acosta,F,2017-10-24
Francisco,Salazar,F,2018-10-24
Valentina,Guerrero,M,2019-05-13
Emma,Morales,F,2015-10-16
Javier,Fernández,F,2018-03-22
Andrés,Castillo,F,2017-04-29
Luciana,Ruiz,M,2016-03-29
Juan,Blanco,M,2019-09-26
Emma,Álvarez,M,2016-04-18
Pedro,Herrera,M,2019-10-21
Fernando,Soto,F,2015-02-22
Adriana,Jiménez,F,2017-02-03
Lorena,Rojas,F,2018-02-08
Paula,García,F,2018-02-10
María,Contreras,M,2019-04-21
Emma,Rodríguez,F,2018-11-04
Rafael,Jiménez,M,2018-06-30
Pablo,Morales,F,2015-04-12
Mariana,Moreno,F,2016-04-26
Martina,Fernández,F,2015-11-02
Daniela,Cruz,M,2019-01-21
Natalia,Flores,F,2016-08-26
Luciana,Rojas,M,2019-06-16
Fernando,Domínguez,M,2016-05-07
José,Vargas,M,2019-10-14
Daniela,García,F,2020-07-06
Carolina,Domínguez,M,2019-09-15
Valeria,Rivera,F,2017-07-23
Francisco,Reyes,F,2016-02-01
Andrés,Moreno,M,2016-10-20
Natalia,Fernández,M,2019-12-07
Pablo,Soto,F,2015-04-28
Arturo,Díaz,M,2019-10-05
Miguel,Rodríguez,M,2016-11-05
Esteban,Ramos,F,2019-07-30
Camila,González,F,2015-08-27
Laura,Pérez,M,2018-07-03
Ricardo,Gómez,M,2015-08-02
Pablo,Molina,F,2017-03-30
Emma,Vargas,F,2019-01-31
Manuel,Silva,F,2020-09-25
Carolina,Sánchez,F,2016-08-02
Natalia,Soto,M,2020-06-24
Pilar,Chávez,M,2016-09-27
Fernando,Soto,M,2019-12-17
Andrea,Acosta,M,2018-09-09
Emma,Guerrero,F,2018-08-08
Gabriela,García,F,2016-06-09
Daniela,Reyes,M,2020-06-03
Pedro,Castro,F,2018-09-18
Ricardo,Martínez,F,2019-05-05
Luciana,Navarro,M,2015-02-02
Roberto,Romero,F,2020-01-11
Andrea,Núñez,M,2018-11-04
Mariana,Soto,M,2016-11-05
Pedro,Ruiz,M,2020-08-27
Florencia,Benítez,M,2019-08-17
Diego,Romero,F,2016-06-18
Pedro,Domínguez,M,2017-01-17
Gabriel,Navarro,F,2015-05-17
Jorge,Gómez,F,2019-07-18
Emma,Torres,F,2015-11-21
Adriana,Blanco,M,2017-03-18
José,Miranda,M,2018-12-03
Juan,Ramírez,M,2018-01-17
Rafael,Reyes,F,2017-05-12
Francisco,Cruz,M,2020-05-22
José,Chávez,F,2017-01-28
María,López,M,2015-12-01
Sergio,Pérez,M,2020-03-14
Martina,Bravo,M,2020-09-23
Gonzalo,Flores,M,2019-01-28
Valentina,Flores,M,2016-07-15
Arturo,Mendoza,F,2016-08-13
Pedro,García,M,2019-10-27
Ricardo,Reyes,M,2018-04-27
Miguel,Rojas,M,2017-12-27
Victoria,Rojas,F,2020-11-12
Juan,Acosta,F,2015-09-25
Natalia,Núñez,M,2017-10-26
Emma,Cruz,M,2019-10-21
Emma,Castillo,F,2020-05-10
José,Sánchez,M,2017-02-21
Adriana,León,F,2015-08-28
Daniela,Chávez,F,2017-01-09
Camila,Navarro,F,2018-07-14
Cristian,Silva,M,2020-07-10
Luis,González,M,2016-05-20
Jorge,Blanco,M,2015-10-02
Ana,Blanco,M,2019-03-29
Andrés,Torres,F,2018-06-07
Valeria,Chávez,M,2019-02-22
Juan,Ramos,F,2016-08-08
Gabriela,Jiménez,F,2020-04-12
Valeria,Vargas,F,2016-07-31
Laura,Rivera,F,2017-09-30
Martina,Peña,M,2018-05-13
Juan,Fernández,F,2019-01-21
Victoria,Acosta,F,2016-01-29
Sofía,Morales,F,2016-03-11
Gabriel,Sánchez,M,2016-08-11
Andrea,González,M,2016-08-08
Daniela,Vargas,M,2016-02-21
Camila,Bravo,M,2016-12-20
Sofía,Castro,M,2019-08-17
Sergio,Castillo,M,2016-05-20
Juan,Vázquez,F,2016-05-18
Isabella,Díaz,M,2018-12-24
Antonia,Cruz,F,2018-04-05
Gabriel,Delgado,F,2019-03-28
Victoria,Ortiz,M,2018-02-25
Felipe,Castillo,F,2020-08-09
Felipe,González,F,2016-07-09
Martina,Delgado,M,2015-07-26
Valeria,Reyes,M,2019-10-29
Pedro,González,F,2020-03-13
Carolina,Sánchez,F,2018-06-12
Sergio,Fernández,F,2015-05-20
Fernando,Delgado,M,2016-04-16
Miguel,Díaz,M,2020-03-30
Antonia,López,F,2017-06-14
Sofía,Morales,M,2017-09-04
Florencia,López,M,2018-02-12
Pilar,León,F,2016-12-30
Natalia,Sánchez,F,2019-09-24
Rafael,León,F,2019-09-23
Camila,Vázquez,F,2017-03-04
María,González,F,2015-09-29
María,Cruz,F,2017-04-27
Camila,Silva,M,2019-11-30
Javier,Flores,M,2020-10-15
Sofía,Miranda,M,2015-07-19
Esteban,Mendoza,M,2019-03-25
Cristian,Fernández,F,2015-07-31
Pilar,Rojas,F,2019-01-20
Pilar,Bravo,F,2019-09-08
Francisco,Flores,F,2015-01-21
Victoria,Chávez,M,2017-07-31
Ricardo,Herrera,F,2016-09-22
Gabriel,Flores,M,2018-09-07
Andrea,Domínguez,M,2017-10-26
Cristian,Cruz,F,2017-05-30
Alejandro,Rojas,M,2015-09-29
Rafael,Contreras,M,2017-03-31
Pedro,Romero,F,2016-12-14
Mariana,Contreras,M,2016-04-01
Adriana,Sánchez,F,2016-03-15
Manuel,Peña,M,2019-05-25
Emma,Rodríguez,F,2015-09-06
Sofía,Rojas,F,2017-10-14
Valeria,Molina,F,2019-05-07
Luis,Jiménez,F,2018-04-09
Cristian,Contreras,F,2016-01-21
Pilar,López,F,2019-10-12
María,Flores,M,2019-06-07
Rafael,Peña,F,2015-05-10
Manuel,Morales,F,2018-02-23
Carlos,Benítez,M,2018-03-16
Andrés,Ramírez,F,2017-01-31
Valeria,Torres,M,2019-04-19
Luciana,Rojas,M,2019-12-16
Valeria,Silva,F,2020-11-11
Victoria,Ruiz,F,2020-10-17
Francisco,Flores,M,2018-11-12
José,Ortiz,M,2019-08-12
Camila,Rodríguez,F,2020-07-14
Laura,Martínez,F,2015-04-10
Valentina,Guerrero,M,2016-04-20
Cristian,Morales,F,2018-09-15
Lorena,Acosta,M,2017-01-13
Victoria,Navarro,M,2017-11-11
Gonzalo,Cruz,F,2017-08-31
Florencia,Moreno,M,2015-10-22
Andrea,Peña,F,2016-06-13
Esteban,Ortiz,F,2020-12-29
Florencia,Rivera,F,2017-09-09
Adriana,Díaz,M,2015-03-23
Ana,Rojas,F,2019-01-16
Diego,Martínez,M,2017-11-01
Fernando,Díaz,F,2018-04-29
María,Acosta,M,2015-07-07
Fernando,Martínez,F,2019-06-10
Miguel,Rojas,F,2019-01-21
Sofía,Rodríguez,F,2017-10-31
Pablo,Morales,F,2019-04-19
Pablo,Chávez,M,2019-02-02
Victoria,Ortiz,M,2016-10-04
Laura,Vargas,M,2017-04-05
José,Martínez,M,2019-02-25
Miguel,Castillo,M,2015-11-26
Carlos,Blanco,M,2015-12-16
Juan,Mendoza,F,2018-07-24
Pablo,Cruz,M,2015-12-04
Luis,García,M,2019-09-10
Victoria,Rojas,F,2017-02-05
Miguel,Romero,M,2019-03-12
Pablo,Benítez,M,2015-03-20
Gonzalo,León,F,2018-09-18
Roberto,Sánchez,M,2020-04-11
Felipe,Vázquez,M,2019-04-11
Valeria,Torres,M,2020-11-03
Jorge,Romero,M,2018-07-16
Camila,Vargas,M,2018-06-05
José,Sánchez,M,2017-05-02
Francisco,Moreno,F,2015-06-24
Daniela,Miranda,M,2015-06-15
Adriana,Martínez,M,2015-04-11
Andrea,Morales,F,2016-06-24
Fernando,Romero,F,2020-03-21
Arturo,Chávez,M,2018-03-10
Miguel,Domínguez,F,2019-02-08
Antonia,Ramírez,M,2018-09-15
Carlos,Cruz,M,2015-09-22
Isabella,Benítez,M,2019-10-24
Daniela,Morales,M,2020-05-24
Arturo,Rivera,M,2015-05-12
Gabriela,Acosta,F,2020-09-11
Emma,Blanco,F,2015-02-06
Manuel,Benítez,F,2015-04-12
Martina,Reyes,F,2015-03-04
Manuel,Morales,F,2016-01-23
Martina,Moreno,F,2018-08-23
Isabella,Molina,M,2020-03-03
Rafael,Soto,M,2019-06-28
Lorena,Blanco,F,2015-01-22
Pablo,Cruz,M,2018-07-14
Carolina,Cruz,F,2020-03-16
Mariana,Romero,M,2015-04-14
Emma,García,M,2018-10-16
Emma,Contreras,F,2015-12-01
Natalia,Torres,M,2020-10-23
Carlos,Domínguez,F,2016-07-01
Javier,Guerrero,F,2020-04-09
Jorge,Miranda,M,2016-10-12
José,Cruz,F,2019-07-12
Roberto,Navarro,M,2017-04-13
María,Domínguez,M,2016-07-28
Felipe,Romero,M,2020-03-30
Andrea,Rojas,F,2015-02-28
Andrés,Molina,M,2019-03-24
Sergio,Reyes,M,2019-03-02
Esteban,Ramírez,M,2019-11-23
Sofía,Núñez,F,2016-09-27
Lorena,Romero,M,2016-12-16
Mariana,Chávez,F,2017-11-11
Andrea,Silva,F,2020-03-23
Luis,Ramos,M,2017-03-09
Ricardo,Blanco,M,2018-08-19
Isabella,Rodríguez,F,2018-02-08
Javier,Bravo,F,2020-08-31
Emma,Romero,F,2019-10-07
Ana,González,F,2020-06-19
Isabella,López,F,2019-04-13
Luciana,Moreno,M,2020-05-03
Alejandro,Peña,M,2020-10-20
Gabriela,Ruiz,M,2018-10-14
Roberto,Cruz,F,2020-06-07
Martina,Salazar,M,2017-01-04
Alejandro,Romero,M,2018-01-19
Camila,Núñez,M,2016-08-02
Lorena,Rojas,M,2019-08-23
Arturo,Peña,F,2020-11-19
Florencia,Rojas,F,2018-06-20
Roberto,Rojas,M,2020-03-10
Luciana,Díaz,F,2017-04-04
Laura,Rojas,F,2016-11-08
José,Sánchez,M,2016-12-18
Paula,Ruiz,F,2018-11-21
Martina,Martínez,M,2019-01-08
Cristian,Blanco,F,2018-09-29
Pedro,Mendoza,M,2020-05-12
Andrea,Martínez,F,2018-01-26
Andrés,Pérez,F,2015-10-28
Daniela,Castillo,F,2019-09-04
Rafael,Contreras,F,2016-11-30
Gabriel,Rodríguez,M,2016-12-03
Valentina,Pérez,F,2015-12-18
Alejandro,Jiménez,F,2017-09-25
Pilar,Morales,M,2017-12-22
Carolina,Vargas,M,2018-02-20
Emma,Bravo,M,2018-11-07
Valentina,Bravo,M,2020-11-30
Camila,González,M,2018-08-16
Sofía,Flores,M,2020-09-26
Pedro,Rodríguez,F,2016-06-20
Fernando,Delgado,M,2018-10-21
Rafael,Castro,M,2017-01-02
Sergio,González,F,2018-10-11
Gabriela,Flores,F,2018-07-10
José,Guerrero,F,2016-03-01
Juan,Jiménez,M,2017-11-13
Natalia,Martínez,M,2015-04-28
Jorge,Delgado,F,2017-09-16
José,Salazar,M,2019-01-21
Felipe,Reyes,M,2016-05-13
Gonzalo,Rojas,M,2020-02-03
Adriana,Morales,F,2016-10-26
Andrés,López,F,2020-08-10
Fernando,Ramírez,F,2016-09-21
Antonia,Fernández,M,2015-11-11
Martina,Castillo,F,2019-01-28
Juan,Delgado,F,2017-01-28
Francisco,Contreras,M,2017-05-28
Alejandro,Álvarez,F,2015-11-21
María,Pérez,M,2018-01-25
Miguel,Romero,M,2019-08-21
Fernando,Benítez,F,2020-03-10
Ana,García,F,2017-01-11
Diego,Rojas,M,2015-12-23
María,Bravo,M,2015-09-10
Andrés,Domínguez,F,2017-03-06
Luciana,Benítez,M,2019-05-08
Javier,Sánchez,F,2018-05-20
Miguel,López,F,2015-06-30
José,Mendoza,M,2016-07-13
Sofía,Navarro,M,2016-08-14
Valentina,Molina,M,2020-10-19
Luciana,Blanco,F,2019-11-26
Martina,López,M,2020-09-11
Antonia,Miranda,F,2017-06-23
Pablo,Díaz,F,2016-10-08
Andrés,Ramírez,F,2017-08-18
Natalia,Cruz,M,2016-05-30
Emma,González,F,2015-05-09
Fernando,Acosta,F,2016-12-13
Carolina,Benítez,F,2015-08-02
Isabella,Benítez,F,2019-09-16
Paula,Molina,F,2020-01-04
Gabriel,Gómez,F,2016-10-13
Francisco,Díaz,F,2016-07-09
Isabella,Vázquez,F,2019-08-16
Valeria,Soto,M,2018-08-11
Luciana,Benítez,F,2018-05-10
Rafael,Díaz,F,2019-07-13
Andrea,Castillo,F,2020-04-24
Valeria,Rodríguez,F,2019-10-28
Natalia,Torres,F,2018-03-22
Sergio,Ramos,M,2018-09-10
Miguel,Pérez,F,2019-03-30
Camila,Silva,F,2018-09-25
Luciana,Silva,M,2019-11-28
Pedro,Reyes,M,2015-12-07
Victoria,Fernández,F,2018-05-03
Juan,Ortiz,F,2019-11-15
Sofía,Soto,F,2017-02-07
Sofía,Rojas,M,2018-05-01
Esteban,Silva,M,2017-11-16
Daniela,Herrera,F,2018-08-20
Carolina,Jiménez,M,2018-08-05
Sofía,Castillo,M,2018-01-24
Adriana,Benítez,F,2015-05-16
Diego,Domínguez,M,2019-01-03
Daniela,Acosta,F,2015-09-14
Isabella,Silva,M,2019-10-15
Manuel,Molina,M,2018-07-16
Miguel,Molina,F,2020-06-03
Valeria,Rodríguez,M,2015-01-14
Felipe,Ramírez,F,2016-09-09
Martina,Silva,M,2018-04-12
Cristian,Martínez,M,2018-12-30
Gabriela,Silva,M,2017-10-05
Luis,Peña,F,2018-12-19
Laura,Cruz,M,2020-10-09
Alejandro,Molina,F,2018-10-20
Roberto,Núñez,M,2015-09-15
Florencia,Mendoza,F,2016-03-19
Valeria,Vargas,F,2020-12-16
Daniela,Ortiz,M,2015-01-22
Isabella,Castro,F,2015-10-06
Lorena,Blanco,M,2016-02-26
Lorena,León,F,2017-06-15
Andrea,Miranda,M,2017-04-14
José,Guerrero,F,2018-05-17
Isabella,Vázquez,F,2020-11-25
Gabriel,García,M,2018-02-07
Camila,Vargas,M,2019-11-20
María,Mendoza,F,2017-01-26
Jorge,Castillo,F,2019-08-10
Mariana,Peña,M,2020-02-14
Gabriel,Jiménez,M,2015-06-13
Jorge,Flores,M,2019-05-11
Camila,Rivera,M,2020-09-07
Esteban,Ramos,M,2020-03-24
Sofía,Martínez,F,2017-06-28
Francisco,Núñez,M,2016-08-26
Rafael,Salazar,F,2016-04-04
Cristian,Bravo,F,2015-04-14
Gabriel,Contreras,F,2019-08-06
Daniela,Jiménez,M,2019-11-16
María,Flores,F,2019-12-15
Victoria,Ramos,M,2019-06-13
Daniela,Pérez,F,2015-04-20
Luciana,Torres,M,2020-07-28
Daniela,Sánchez,F,2016-01-02
Mariana,Chávez,F,2017-09-07
Laura,González,M,2017-09-07
Florencia,Castillo,F,2016-05-10
Sofía,Díaz,M,2015-02-20
Florencia,Bravo,M,2019-03-04
Diego,Delgado,F,2018-06-10
Luciana,Blanco,F,2020-10-17
Mariana,Jiménez,M,2019-10-18
Emma,Soto,F,2015-11-24
Ana,Jiménez,F,2016-12-20
Pedro,Reyes,M,2020-12-03
Adriana,Peña,F,2015-12-24
Laura,Reyes,M,2019-08-10
Javier,Romero,M,2019-12-26
Mariana,Flores,F,2016-08-12
Adriana,Flores,F,2018-04-09
Diego,Morales,M,2016-08-25
Martina,Cruz,M,2015-07-14
Luciana,López,M,2016-02-03
Gabriela,Ruiz,F,2015-03-31
Pilar,Rojas,M,2016-12-11
Carlos,Bravo,F,2015-10-28
Camila,Romero,F,2020-08-07
Mariana,Acosta,F,2015-09-04
Lorena,Rivera,M,2018-01-15
Ricardo,Blanco,F,2017-03-15
Sergio,García,M,2015-11-20
Sergio,Álvarez,M,2015-11-04
Pilar,Vargas,F,2020-01-27
Cristian,Delgado,M,2019-10-18
Andrés,Acosta,F,2020-11-02
Daniela,Romero,F,2020-11-03
Pilar,Acosta,M,2019-05-02
Ricardo,Peña,F,2019-01-12
Felipe,Peña,M,2017-01-08
Gonzalo,Rojas,M,2020-02-02
Esteban,Mendoza,F,2015-03-28
Carlos,Contreras,M,2018-03-11
Alejandro,Chávez,F,2019-10-29
Gabriel,Romero,M,2015-04-15
Luciana,López,F,2015-03-02
Daniela,Silva,F,2017-07-26
Esteban,González,F,2015-01-13
Gabriela,Ruiz,M,2017-06-17
Victoria,Mendoza,F,2015-03-10
Rafael,Ramos,M,2017-11-07
Valeria,Silva,M,2017-07-28
Valeria,Mendoza,F,2016-11-26
Pablo,Peña,F,2015-09-14
Laura,Ramírez,M,2017-05-26
Francisco,Miranda,F,2016-08-14
Arturo,Delgado,F,2018-10-21
María,Núñez,M,2015-01-01
Luis,Bravo,M,2018-12-09
Florencia,Bravo,M,2015-10-07
Mariana,Rojas,F,2018-07-13
Diego,Rodríguez,M,2015-09-26
Martina,Castillo,F,2018-10-19
Javier,Jiménez,M,2018-12-02
Felipe,Rodríguez,M,2015-06-03
Ricardo,Castro,M,2018-12-21
Valeria,Silva,F,2020-05-09
Francisco,Blanco,F,2017-03-20
Florencia,Miranda,F,2017-04-20
María,Pérez,F,2017-08-13
Camila,Romero,F,2015-12-06
Sofía,Castro,F,2016-03-20
Valeria,Fernández,M,2020-04-02
Ana,Silva,F,2016-09-04
Paula,Romero,F,2020-12-23
Pablo,Peña,M,2020-07-27
Arturo,Chávez,F,2016-11-03
Miguel,Herrera,F,2019-02-05
Roberto,Mendoza,F,2016-03-09
Florencia,Silva,F,2018-12-04
Cristian,Rodríguez,F,2018-06-07
Ana,Rojas,F,2020-07-28
María,Núñez,F,2016-04-28
Laura,Torres,F,2019-02-19
Florencia,González,M,2019-05-30
Sofía,Fernández,M,2017-05-13
Manuel,Álvarez,F,2015-07-11
Miguel,García,F,2015-10-21
Felipe,Núñez,M,2020-05-17
Adriana,Moreno,M,2019-11-08
María,Castro,F,2015-02-11
Mariana,López,M,2015-02-08
Carlos,Mendoza,F,2020-12-01
Ricardo,Vázquez,F,2015-03-18
Rafael,Castillo,F,2016-02-29
Gabriel,Rojas,F,2018-12-31
Lorena,López,F,2016-04-17
Javier,Molina,M,2016-01-20
Diego,Castillo,M,2015-10-07
Martina,Romero,F,2019-03-27
Paula,Miranda,F,2015-04-24
Cristian,Núñez,M,2017-07-05
José,Ortiz,F,2015-01-08
Gabriela,González,M,2019-05-10
Luciana,Herrera,F,2019-04-04
Camila,Álvarez,M,2018-10-12
Antonia,Bravo,M,2019-08-02
Diego,Silva,M,2020-11-30
Rafael,López,M,2015-01-18
Victoria,Peña,M,2019-09-02
Jorge,Acosta,F,2015-06-25
Daniela,Delgado,M,2019-07-19
Gabriela,Rojas,M,2017-05-31
Rafael,González,M,2020-11-24
Antonia,Herrera,M,2015-08-04
Gabriela,Rivera,M,2020-08-06
Fernando,Flores,M,2019-12-17
Rafael,Fernández,M,2016-11-20
Manuel,Rojas,F,2016-01-30
José,Navarro,M,2017-06-08
Fernando,Castro,M,2017-08-21
Carlos,Díaz,F,2017-08-28
Carolina,Miranda,M,2017-07-12
Roberto,Peña,M,2019-05-10
Felipe,Guerrero,M,2018-01-09
Victoria,Miranda,M,2020-06-22
Valentina,Herrera,M,2020-03-27
Victoria,Pérez,F,2017-12-24
Luciana,Delgado,M,2016-11-28
Emma,Ortiz,M,2019-08-14
Cristian,Chávez,F,2018-12-20
Valeria,Acosta,M,2015-02-19
Valentina,López,M,2019-03-28
Ricardo,Bravo,M,2016-05-11
Esteban,Fernández,F,2016-01-28
Pilar,Acosta,M,2016-07-02
Lorena,Acosta,M,2020-05-25
Rafael,Domínguez,F,2020-10-29
Ricardo,Blanco,F,2016-10-27
Juan,García,F,2019-11-01
Diego,Reyes,F,2015-10-05
Gonzalo,Moreno,F,2016-01-01
Martina,Romero,F,2016-10-02
Florencia,Herrera,F,2019-05-19
Sofía,Ortiz,F,2016-06-11
Alejandro,Guerrero,M,2019-11-24
Martina,Moreno,M,2019-08-31
Sofía,López,M,2018-12-04
Adriana,Vázquez,F,2015-07-27
Daniela,Soto,M,2018-02-09
Mariana,Romero,F,2017-06-19
Francisco,Torres,M,2017-12-09
María,Jiménez,F,2018-06-30
Pablo,Domínguez,M,2020-08-14
Roberto,Díaz,M,2020-04-11
Sofía,Bravo,M,2019-05-31
Carolina,Vargas,F,2019-04-16
Esteban,Blanco,F,2020-06-17
Fernando,Chávez,F,2019-10-07
Javier,Pérez,F,2019-02-24
Andrea,Ramos,M,2019-06-17
Paula,Chávez,F,2020-12-03
Rafael,Castillo,M,2020-03-17
Cristian,Fernández,F,2019-07-09
Valeria,Herrera,F,2018-11-28
Sergio,Vargas,M,2018-08-10
Alejandro,Rojas,M,2018-08-17
Daniela,Rodríguez,M,2020-07-20
Francisco,Ramos,F,2020-06-03
Natalia,Rivera,M,2020-10-16
Carlos,Delgado,M,2019-11-01
Pablo,Domínguez,M,2017-10-05
Francisco,Ramos,M,2015-11-10
Ana,Núñez,M,2016-01-16
Pilar,Salazar,M,2020-06-12
Natalia,Rojas,F,2018-07-27
Natalia,Guerrero,M,2019-10-09
Luis,Peña,F,2019-07-25
Valentina,Blanco,M,2019-05-11
Ricardo,Ruiz,F,2019-02-13
Gabriel,Reyes,F,2017-11-27
Ana,Chávez,M,2019-12-10
Paula,Contreras,M,2015-04-17
Ricardo,Miranda,M,2017-07-28
Daniela,Molina,F,2017-11-06
Pedro,Benítez,F,2019-01-20
María,Rojas,M,2017-04-02
Carlos,Salazar,M,2019-11-10
Carlos,Domínguez,F,2016-05-05
Luis,Álvarez,F,2017-03-22
María,Chávez,F,2017-01-06
Felipe,Navarro,M,2018-09-16
Daniela,Domínguez,F,2016-08-12
Ana,Soto,M,2015-09-01
Andrea,Torres,F,2016-02-16
Arturo,Domínguez,M,2018-07-26
Gabriel,Domínguez,F,2015-11-20
Natalia,Acosta,M,2016-12-20
María,Peña,F,2017-06-30
Natalia,Fernández,F,2015-09-25
Ricardo,Moreno,F,2015-10-30
Gabriela,Ortiz,F,2017-03-22
Pilar,Jiménez,M,2015-07-31
Cristian,Jiménez,F,2017-02-25
Luciana,Soto,F,2015-06-11
Gabriel,García,M,2019-05-23
Camila,Pérez,F,2020-01-18
Arturo,Gómez,F,2017-02-05
Valeria,Herrera,F,2017-05-07
Juan,Cruz,F,2018-04-13
Pedro,Mendoza,F,2015-09-11
Mariana,Contreras,M,2017-12-05
Esteban,Chávez,M,2015-02-16
Gabriel,Silva,F,2017-06-19
Natalia,Sánchez,F,2018-11-17
José,Acosta,F,2020-06-02
Francisco,Cruz,M,2019-06-03
Sergio,Miranda,F,2018-10-23
Daniela,Delgado,F,2018-05-08
Francisco,Núñez,M,2018-09-26
Florencia,León,F,2019-04-19
Antonia,Torres,F,2019-06-06
Alejandro,Delgado,M,2020-10-30
Carolina,Soto,F,2015-06-02
Miguel,Miranda,M,2015-09-17
Sergio,Vázquez,M,2015-05-13
Alejandro,López,F,2017-01-07
Jorge,Ramírez,M,2018-06-07
Esteban,León,F,2020-02-07
María,Rodríguez,F,2018-03-12
Pilar,Soto,M,2019-02-02
Camila,Acosta,F,2016-03-12
Andrea,Álvarez,M,2016-05-07
Sofía,Fernández,F,2019-08-22
Roberto,Miranda,F,2019-01-31
María,Herrera,M,2020-09-11
María,Núñez,M,2019-02-06
Cristian,Molina,F,2020-09-24
Alejandro,Castillo,M,2018-04-14
Gonzalo,González,M,2020-02-29
Manuel,Álvarez,M,2017-12-08
Javier,Ramos,F,2020-10-30
Roberto,Chávez,M,2018-09-10
Felipe,Chávez,F,2020-11-21
Valentina,Fernández,M,2017-10-19
Pablo,Pérez,F,2017-11-18
Felipe,Reyes,F,2019-04-08
José,Romero,M,2015-11-05
Adriana,Salazar,F,2015-10-30
Luciana,Contreras,M,2019-03-04
Ricardo,León,M,2018-02-06
Andrés,Rojas,F,2020-09-22
Gonzalo,Vargas,F,2017-01-16
Alejandro,Ramos,M,2019-04-27
Felipe,Salazar,M,2015-01-13
Ricardo,Ramírez,M,2016-06-25
Jorge,Ortiz,M,2020-04-04
Esteban,Castillo,M,2016-10-02
Felipe,Salazar,M,2015-03-22
Pablo,Salazar,M,2017-09-07
Alejandro,Jiménez,M,2020-04-09
Valeria,Pérez,F,2015-05-02
Fernando,Castro,M,2017-01-12
Adriana,Gómez,F,2019-03-09
Lorena,Sánchez,F,2018-02-17
Pilar,Silva,F,2018-08-31
Valeria,Herrera,F,2020-06-11
Camila,Castro,M,2019-02-07
Esteban,Romero,M,2016-10-06
Carlos,Castro,M,2018-10-05
Gonzalo,García,F,2015-09-08
Javier,Chávez,M,2018-01-11
Andrea,González,M,2016-09-27
Jorge,Silva,F,2016-01-15
José,Castro,F,2020-07-31
Gonzalo,Flores,M,2018-03-04
Gabriela,Flores,F,2016-06-01
Andrea,Castro,F,2018-10-07
Ana,Torres,M,2019-11-05
María,Soto,F,2020-12-30
Isabella,Navarro,F,2017-08-24
Andrés,Gómez,F,2020-03-17
Arturo,Miranda,F,2019-08-23
Adriana,Díaz,M,2020-05-28
Daniela,Mendoza,F,2016-06-13
Daniela,Blanco,F,2018-11-13
Carlos,Acosta,M,2017-12-18
Emma,Ortiz,M,2018-12-06
Adriana,González,F,2017-07-24
Carlos,Rivera,M,2016-04-21
Pablo,Contreras,M,2018-04-14
Ana,García,F,2020-09-03
Francisco,Jiménez,M,2020-11-28
Rafael,García,M,2019-01-13
Javier,Blanco,F,2019-12-04
Sofía,Romero,F,2018-05-01
Luciana,Salazar,F,2020-09-09
Natalia,Romero,M,2019-03-19
Jorge,Álvarez,F,2018-08-20
Natalia,Gómez,F,2016-06-07
Laura,Benítez,M,2019-02-07
Laura,Molina,M,2016-04-26
Andrea,Molina,M,2018-02-02
Ricardo,Herrera,F,2016-09-12
Martina,Chávez,F,2019-05-18
Isabella,Romero,F,2016-07-06
Martina,Mendoza,M,2020-03-14
Javier,Molina,M,2018-05-02
Luciana,González,M,2018-04-01
Pilar,Salazar,F,2016-09-22
Felipe,Rodríguez,F,2020-07-28
Jorge,Romero,M,2017-06-21
Manuel,León,F,2015-02-12
Andrés,Navarro,F,2016-12-29
Luis,Navarro,M,2018-07-02
Gonzalo,Cruz,F,2016-11-13
Victoria,Soto,M,2019-08-23
Roberto,Sánchez,F,2017-05-28
Mariana,Miranda,F,2019-06-05
Camila,Pérez,M,2020-01-30
Daniela,Gómez,M,2020-05-29
Luis,Díaz,M,2016-04-13
Paula,Delgado,F,2016-11-21
Camila,Vargas,M,2018-03-25
Pilar,Ramírez,M,2017-07-10
Luis,González,F,2018-01-13
Arturo,Salazar,F,2017-05-13
Martina,Martínez,F,2020-11-15
Jorge,Domínguez,F,2016-07-21
Valentina,Reyes,M,2019-10-18
Pilar,Silva,M,2018-04-03
Daniela,Herrera,M,2018-04-11
Andrés,Morales,F,2017-03-25
Sofía,Moreno,M,2020-01-21
Felipe,Chávez,F,2019-02-12
Diego,Navarro,F,2019-03-06
Natalia,Rodríguez,F,2017-05-09
Arturo,Chávez,M,2020-05-01
Arturo,Romero,M,2018-06-28
Valeria,Vázquez,F,2017-04-09
Juan,Chávez,M,2017-06-13
Ana,Domínguez,F,2018-02-18
Andrés,León,F,2015-05-12
Cristian,Molina,F,2020-12-16
Victoria,Rojas,F,2018-10-09
Sofía,Ortiz,M,2020-11-18
